                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6967,                 3.3891,                  1.722,                 1.5281,                 5.1894,                 1.5531,                0.00856,                0.41285,                0.11606,                0.06244,                 1.5648,                  3.697,                   1.65,                 1.3661,                 6.9282,                 1.5269,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                  1.544,                 2.9704,                 1.5381,                 1.3962,                  4.607,                  1.424,                0.00826,                0.56766,                0.12935,                0.06781,                 1.4373,                 3.5947,                 1.4892,                 1.2216,                 6.7721,                 1.3944,             0.00015408,             0.00015408,             0.00015408
                      3,                 1.5247,                 2.2788,                 1.5247,                 1.3771,                 4.2904,                 1.4022,                0.00874,                0.54731,                0.09627,                0.04712,                 1.5201,                 3.6088,                 1.5712,                 1.3371,                  6.847,                 1.4714,             0.00023331,             0.00023331,             0.00023331
                      4,                 1.5575,                 1.9007,                 1.5167,                 1.3399,                 3.9687,                 1.3588,                0.00755,                0.55203,                0.12477,                0.06908,                 1.6934,                  3.542,                 1.7821,                 1.3915,                 6.8755,                  1.542,             0.00030915,             0.00030915,             0.00030915
                      5,                 1.5463,                 1.6078,                 1.4873,                 1.3169,                 3.6987,                 1.3295,                0.00916,                0.64826,                 0.1742,                0.09425,                 1.5356,                 3.3238,                 1.6035,                 1.2163,                 6.6552,                 1.3649,             0.00038159,             0.00038159,             0.00038159
                      6,                 1.5263,                  1.571,                 1.4814,                 1.3236,                 3.6783,                 1.3251,                0.00873,                0.70391,                0.18561,                0.10315,                 1.6219,                 3.2259,                 1.6926,                 1.2598,                 6.6294,                 1.4467,             0.00045064,             0.00045064,             0.00045064
                      7,                 1.4749,                 1.5078,                 1.4608,                 1.3138,                 3.5117,                 1.3334,                0.01091,                0.66468,                0.22383,                0.11826,                  1.616,                 3.0734,                 1.6591,                 1.3098,                 6.5743,                 1.4467,             0.00051629,             0.00051629,             0.00051629
                      8,                 1.4831,                 1.4546,                 1.4371,                 1.3618,                 3.3154,                 1.3375,                 0.0145,                0.68296,                0.18889,                0.09205,                 1.7104,                 3.1698,                 1.7237,                 1.4005,                 6.6392,                 1.5064,             0.00057854,             0.00057854,             0.00057854
                      9,                 1.4832,                 1.4102,                 1.4297,                 1.3805,                 3.1783,                 1.3329,                0.01476,                0.76804,                0.22669,                0.11094,                 1.6796,                  3.031,                   1.71,                 1.3692,                 6.4812,                  1.478,              0.0006374,              0.0006374,              0.0006374
                     10,                 1.4992,                 1.3994,                 1.4455,                 1.3986,                 3.0508,                 1.3572,                0.01076,                0.71749,                0.29773,                0.14949,                 1.7389,                 2.9618,                 1.7506,                 1.4258,                 6.4115,                 1.5367,             0.00069287,             0.00069287,             0.00069287
                     11,                 1.4601,                 1.3667,                 1.4133,                 1.3996,                 2.8877,                 1.3482,                0.01065,                0.75837,                0.27667,                0.13545,                  1.826,                  2.934,                 1.8653,                 1.5899,                 6.3666,                 1.6444,             0.00074494,             0.00074494,             0.00074494
                     12,                 1.4242,                 1.3154,                 1.4021,                 1.3865,                 2.7642,                  1.353,                0.63361,                0.30434,                0.28821,                0.13281,                 1.9229,                 2.9367,                 1.9285,                 1.6591,                 6.2272,                 1.6479,             0.00079361,             0.00079361,             0.00079361
                     13,                 1.4498,                 1.2945,                 1.3999,                 1.4016,                 2.6455,                 1.3454,                0.88608,                 0.0578,                0.31416,                0.14689,                 1.7773,                  2.738,                 1.8626,                 1.5609,                 5.9453,                 1.6784,             0.00083889,             0.00083889,             0.00083889
                     14,                 1.4715,                 1.2887,                 1.4088,                  1.444,                 2.5407,                 1.3536,                0.78999,                 0.2409,                0.34006,                0.15187,                 1.8496,                 2.4576,                 1.9165,                 1.6549,                  5.507,                 1.7836,             0.00088078,             0.00088078,             0.00088078
                     15,                 1.4715,                 1.2921,                 1.4199,                 1.4383,                  2.486,                 1.3732,                0.86934,                 0.2474,                0.46267,                0.20406,                 1.8096,                 2.3465,                 1.8475,                 1.6742,                 5.2325,                 1.7168,             0.00091926,             0.00091926,             0.00091926
                     16,                  1.477,                 1.2865,                 1.4206,                 1.4462,                 2.3746,                 1.3688,                0.77776,                0.26623,                0.46458,                0.19901,                 1.8975,                  2.381,                 1.9472,                 1.6819,                 5.0747,                 1.7198,             0.00095436,             0.00095436,             0.00095436
                     17,                 1.4647,                 1.2604,                 1.4287,                 1.4539,                 2.3073,                 1.3951,                0.73838,                0.20244,                0.28573,                0.11167,                   2.14,                 2.5498,                 2.2682,                 1.9274,                 5.1326,                 2.0041,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.4755,                 1.2626,                 1.4114,                 1.4613,                 2.1805,                 1.3535,                0.65314,                0.28468,                0.32008,                0.13058,                 2.0391,                 2.4932,                 2.1527,                 1.8297,                 4.8063,                 1.9148,             0.00097629,             0.00097629,             0.00097629
                     19,                 1.4955,                  1.228,                 1.4347,                 1.4738,                 2.0837,                   1.38,                 0.4658,                0.34851,                 0.3891,                0.17931,                  1.885,                 2.0825,                 1.9285,                 1.7683,                 4.1219,                 1.7881,               0.000948,               0.000948,               0.000948
                     20,                 1.4752,                 1.2063,                 1.4199,                  1.465,                 2.0275,                  1.377,                0.76874,                0.31698,                0.39124,                0.17937,                 1.8886,                 2.1298,                 1.9184,                 1.7509,                  3.971,                  1.774,              0.0009197,              0.0009197,              0.0009197
                     21,                 1.4464,                 1.1732,                 1.4039,                 1.4341,                 1.9428,                 1.3634,                 0.6249,                0.36512,                0.45099,                 0.1879,                 1.9653,                 2.0222,                 2.0006,                 1.8322,                 3.8947,                 1.8374,             0.00089141,             0.00089141,             0.00089141
                     22,                 1.4421,                 1.1489,                   1.38,                 1.4396,                 1.8599,                 1.3414,                0.65932,                0.36548,                0.36774,                0.16202,                 1.9646,                 2.1339,                 1.9442,                 1.8983,                 3.6677,                 1.8404,             0.00086312,             0.00086312,             0.00086312
                     23,                 1.4367,                 1.1125,                 1.3802,                 1.4388,                 1.7738,                 1.3421,                0.60291,                0.46847,                0.50738,                0.22567,                 1.8648,                 1.7911,                 1.8226,                 1.7722,                 3.2518,                 1.7402,             0.00083482,             0.00083482,             0.00083482
                     24,                 1.3758,                 1.1069,                 1.3716,                 1.3949,                 1.7285,                  1.349,                0.74099,                0.44576,                0.49485,                0.23257,                 1.8429,                 1.6637,                 1.8416,                 1.7904,                 2.9383,                 1.7698,             0.00080653,             0.00080653,             0.00080653
                     25,                 1.4012,                 1.0704,                 1.3643,                 1.4242,                 1.6438,                 1.3389,                0.71179,                0.55957,                0.61262,                0.27842,                  1.813,                 1.4519,                 1.8914,                 1.7911,                 2.5909,                 1.7855,             0.00077823,             0.00077823,             0.00077823
                     26,                  1.396,                 1.0652,                 1.3747,                 1.4091,                  1.614,                 1.3498,                0.49973,                0.53978,                0.53059,                0.23027,                 1.8761,                 1.5137,                 1.8021,                 1.8539,                 2.5814,                  1.756,             0.00074994,             0.00074994,             0.00074994
                     27,                 1.3686,                 1.0088,                 1.3397,                 1.3935,                 1.4933,                  1.314,                0.65047,                0.55408,                0.63251,                 0.2888,                 1.8337,                 1.4047,                 1.7608,                 1.7606,                 2.3523,                 1.6691,             0.00072164,             0.00072164,             0.00072164
                     28,                 1.3676,                 1.0059,                 1.3408,                 1.3784,                 1.4741,                 1.3169,                0.52565,                0.58371,                0.56496,                0.24848,                 1.8886,                 1.4403,                 1.8039,                  1.855,                 2.3771,                 1.7255,             0.00069335,             0.00069335,             0.00069335
                     29,                 1.3415,                0.97657,                 1.3182,                 1.3618,                 1.4182,                 1.2976,                0.65869,                0.64404,                0.65729,                0.29677,                 1.7734,                 1.3171,                 1.6854,                 1.7566,                 2.1207,                 1.6479,             0.00066506,             0.00066506,             0.00066506
                     30,                 1.3275,                0.98062,                 1.3234,                 1.3539,                  1.441,                 1.2956,                0.63832,                0.65199,                0.69919,                0.32404,                  1.752,                 1.1737,                 1.6931,                 1.7389,                 1.9212,                 1.6374,             0.00063676,             0.00063676,             0.00063676
                     31,                 1.3235,                0.95665,                 1.3283,                 1.3469,                 1.3894,                 1.3054,                0.67443,                0.55857,                0.64927,                0.29678,                 1.7847,                 1.2824,                 1.6897,                 1.7699,                 1.9954,                 1.6618,             0.00060847,             0.00060847,             0.00060847
                     32,                 1.3146,                0.94841,                 1.3234,                 1.3414,                 1.3526,                 1.2955,                0.67251,                0.68551,                0.69557,                0.31097,                 1.8238,                 1.2123,                  1.743,                  1.805,                 1.8948,                 1.7085,             0.00058017,             0.00058017,             0.00058017
                     33,                 1.3146,                0.92693,                 1.3071,                  1.348,                 1.3047,                 1.2847,                0.74474,                0.66356,                0.73146,                0.37271,                 1.6706,                 1.1443,                  1.589,                 1.6923,                 1.6932,                 1.5571,             0.00055188,             0.00055188,             0.00055188
                     34,                 1.2685,                0.89168,                 1.2679,                 1.3164,                 1.2392,                 1.2479,                0.65888,                0.69663,                0.72437,                0.34925,                 1.7188,                 1.1099,                 1.6624,                 1.7412,                 1.6389,                 1.6138,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.2833,                0.87999,                 1.2999,                 1.3137,                 1.2322,                 1.2795,                0.75322,                0.74956,                0.78454,                0.37765,                 1.6962,                 1.0317,                 1.6459,                   1.72,                 1.5713,                 1.6022,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.2795,                0.87902,                 1.2833,                 1.3117,                 1.2022,                  1.265,                0.71415,                0.74176,                0.78428,                0.38179,                 1.6977,                 1.0084,                 1.6038,                 1.7135,                 1.5311,                 1.5875,               0.000467,               0.000467,               0.000467
                     37,                 1.2521,                0.84002,                 1.2751,                 1.2861,                 1.1607,                 1.2525,                 0.6786,                0.64859,                0.71221,                0.35429,                 1.7081,                 1.0465,                 1.5898,                 1.7163,                 1.5438,                 1.5556,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.2526,                0.85493,                 1.2675,                 1.2854,                 1.1546,                  1.246,                0.77061,                0.64284,                0.74036,                0.36799,                 1.7541,                 1.0324,                 1.6344,                 1.7609,                  1.532,                 1.5934,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.2442,                0.82068,                 1.2643,                 1.2839,                 1.1162,                 1.2486,                0.74401,                0.70516,                0.77007,                0.38702,                 1.7433,                0.96643,                 1.6207,                 1.7489,                 1.4391,                 1.5832,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.2392,                 0.8257,                 1.2622,                  1.282,                 1.1213,                 1.2413,                0.75184,                0.72211,                 0.7717,                0.37879,                 1.7698,                0.96288,                 1.6423,                 1.7672,                 1.4008,                 1.6025,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.1849,                 0.7863,                 1.2579,                 1.2203,                  1.105,                 1.2475,                0.75165,                 0.6999,                0.77932,                0.40038,                 1.6812,                 1.1024,                 1.5736,                 1.6701,                 1.5152,                 1.5301,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.1587,                0.71511,                 1.2494,                 1.1848,                 1.0206,                 1.2401,                0.82913,                0.63547,                0.75901,                0.37493,                 1.7219,                 1.0305,                 1.5994,                  1.748,                 1.3555,                 1.5697,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.1364,                0.68274,                 1.2465,                 1.1729,                0.97648,                 1.2368,                0.84361,                0.62061,                0.77774,                0.39851,                 1.6594,                0.98014,                 1.5482,                 1.6951,                 1.3096,                 1.5317,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.1452,                0.67413,                 1.2408,                 1.1796,                0.95171,                 1.2287,                0.74868,                 0.7608,                0.77981,                0.38402,                 1.7122,                0.97827,                 1.5978,                 1.7398,                 1.3114,                 1.5727,             0.00024064,             0.00024064,             0.00024064
                     45,                 1.0907,                0.65185,                 1.2008,                 1.1274,                0.91118,                 1.1916,                0.82552,                0.69305,                0.78811,                0.40514,                 1.6898,                0.95829,                 1.6018,                 1.7198,                  1.293,                  1.569,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.0649,                0.64387,                 1.1873,                 1.0922,                0.90522,                 1.1752,                0.77606,                0.73403,                0.80499,                0.41925,                  1.653,                 0.8986,                 1.5607,                 1.6799,                 1.1946,                 1.5268,             0.00018406,             0.00018406,             0.00018406
                     47,                 1.0723,                0.62854,                 1.1805,                 1.1059,                0.87938,                 1.1697,                0.77569,                 0.7009,                0.78787,                0.39697,                 1.7325,                0.93417,                 1.6434,                 1.7282,                  1.286,                 1.5938,             0.00015576,             0.00015576,             0.00015576
                     48,                 1.0364,                0.61281,                 1.1796,                 1.0704,                0.85265,                 1.1753,                0.79031,                0.75442,                0.81816,                0.43231,                 1.6588,                0.89313,                 1.5712,                 1.6625,                 1.2079,                 1.5287,             0.00012747,             0.00012747,             0.00012747
                     49,                 1.0216,                0.60079,                 1.1586,                 1.0636,                0.83654,                 1.1524,                0.77352,                0.75147,                0.81846,                0.42702,                 1.6651,                0.89332,                 1.5827,                 1.6733,                 1.2234,                  1.534,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.98305,                0.58786,                 1.1372,                 1.0251,                0.81169,                 1.1326,                0.85374,                0.70928,                0.82664,                0.43801,                 1.6455,                0.86921,                 1.5546,                 1.6545,                 1.1919,                  1.509,             7.0878e-05,             7.0878e-05,             7.0878e-05
